122	Pitch Black	2000	USA	action	horror	
123	Siu lam juk kau	2001	"Hong Kong,China"	action	comedy	sport
124	The Manchurian Candidate	2004	USA	drama	mystery	thriller
125	Adaptation.	2002	USA	comedy	drama	
126	Agents secrets	2004	"France,Italy,Spain"	action	crime	thriller
127	Alfie	2004	"UK,USA"	comedy	drama	romance
128	AVP: Alien vs. Predator	2004	"USA,UK,Czech Republic,Canada,Germany"	action	adventure	thriller
129	Aliens	1986	"USA,UK"	action	horror	
130	Alien: Resurrection	1997	USA	action	horror	
131	Blade Runner	1982	"USA,Hong Kong,UK"	thriller		
132	Nineteen Eighty-Four	1984	UK	drama	romance	thriller
133	A Beautiful Mind	2001	USA	biography	drama	
134	Pi	1998	USA	drama	thriller	
135	Crash	1996	"Canada,UK"	drama		
136	Ying xiong	2002	"China,Hong Kong"	action	adventure	history
137	Blade: Trinity	2004	USA	action	adventure	fantasy
138	Cube Zero	2004	"Canada,USA"	mystery	thriller	
139	Dark City	1998	"Australia,USA"	drama	fantasy	thriller
140	Face/Off	1997	USA	action	crime	thriller
142	Fahrenheit 9/11	2004	USA	comedy	documentary	drama
144	Dodgeball: A True Underdog Story	2004	"USA,Germany"	comedy	sport	
145	Enter the Dragon	1973	"Hong Kong,USA"	action	crime	drama
146	Eternal Sunshine of the Spotless Mind	2004	USA	drama	romance	
147	Final Fantasy: The Spirits Within	2001	"USA,Japan"	action	adventure	animation
148	The Animatrix	2003	"USA,Japan"	action	adventure	animation
149	Kill Bill: Vol. 1	2003	USA	action		
150	A Bug's Life	1998	USA	adventure	animation	comedy
151	Mulan II	2004	"USA,South Korea,Singapore,Russia,Malaysia,Kazakhstan"	action	animation	comedy
152	Snake Eyes	1998	"USA,Canada"	action	crime	drama
154	Pinocchio	2002	"Italy,USA"	comedy	family	fantasy
155	Shall We Dance	2004	USA	comedy	drama	romance
156	Ocean's Eleven	2001	USA	crime	thriller	
157	Nathalie...	2003	"France,Spain"	drama		
158	Secret Window	2004	USA	mystery	thriller	
159	S1m0ne	2002	USA	comedy	drama	fantasy
160	Sphere	1998	USA	drama	mystery	thriller
161	Spy Game	2001	"Germany,USA,Japan,France"	action	crime	thriller
162	Office Space	1999	USA	comedy		
163	The Butterfly Effect	2004	"USA,Canada"	thriller		
164	The Core	2003	"USA,Germany,Canada"	action	adventure	thriller
165	The Fifth Element	1997	France	action	adventure	
